"run.id","date","spectrum.id","sample.id","anatomical.part","panel"
202103080900,"08/03/2021","202103080900_1K3","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_1K4","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_1L1","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_1L2","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_1L3","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_1L4","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_2A1","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_2A2","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_2A3","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2A4","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2B1","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2B2","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2B3","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2B4","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2C1","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2C2","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2C3","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2C4","METF2_0005843","head","reference"
202103080900,"08/03/2021","202103080900_2D1","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2D2","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2D3","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2D4","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2E1","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2E2","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2E3","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2E4","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2F1","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2F2","METF2_0005857","head","reference"
202103080900,"08/03/2021","202103080900_2F3","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2F4","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2G1","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2G2","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2G3","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2G4","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2H1","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2H2","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2H3","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2H4","METF2_0005860","head","reference"
202103080900,"08/03/2021","202103080900_2I1","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2I2","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2I3","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2I4","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2J1","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2J2","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2J3","METF2_0005878","head","reference"
202103080900,"08/03/2021","202103080900_2J4","METF2_0005878","head","reference"
